ID,Code,Title,Category,Chapter_ID,Liturgical_Role,Fabric_Spec,Suggested_Color,Store,Est_Price_Range,Status,Notes
"TRS-GR-04","GR-04","Groom Safa (Turban) & Feather Kalgi","groom","chapter_groom_wear","Barat Royal Regalia","Crushed tissue or chanderi silk with jeweled brooch","Royal Peach / Crimson / Gold","Market Building / Manyavar","₹4,500 - ₹8,500","Planned",""
"TRS-GR-05","GR-05","Barat Stole & Multi-Layer Pearl Mala","groom","chapter_groom_wear","Barat Accoutrements","Embroidered velvet/silk stole + layered pearl/emerald mala","Maroon / Emerald + Off-White","Manyavar / Saheed Nagar Boutiques","₹5,000 - ₹9,000","Planned",""
"TRS-GR-06","GR-06","Sangeet Tuxedo / Royal Bandhgala","groom","chapter_groom_wear","Day 1 Sangeet Concert & Celebration","Custom-tailored Italian wool Tuxedo or Royal Jodhpuri suit","Midnight Black or Deep Navy","Raymond Custom Tailoring (Janpath)","₹25,000 - ₹42,000","Planned",""
"TRS-GR-07","GR-07","Haldi Cotton-Silk Kurta-Pajama","groom","chapter_groom_wear","Day 1 Haldi Ceremony","Breathable Lucknowi Chikan or cotton-silk with churidar","Mustard Yellow / Gold","Fabindia / Manyavar (Janpath)","₹4,000 - ₹7,000","Planned",""
"TRS-GR-08","GR-08","Traditional Mojaris & Juttis (2 Pairs)","groom","chapter_groom_wear","Ceremonial & Mandap Footwear","Handcrafted leather mojaris with gold thread embroidery","Antique Gold & Raw Silk Ivory","Market Building Unit-2","₹4,000 - ₹7,000","Planned",""
"TRS-JW-01","JW-01","Chandra Haar / Temple Gold Choker","jewellery","chapter_jewellery","Mandap Hastaganthi Central Neckpiece","22K Hallmarked Gold handcrafted temple architecture motif","Pure Antique 22K Yellow Gold","Khimji Jewellers / Lalchnd Jewellers","Gold Weight Based (~40-60g)","Planned",""
"TRS-JW-02","JW-02","Long Sita Haar (Layered Necklace)","jewellery","chapter_jewellery","Bridal Regal Layering","22K Gold with floral/peacock medallion drops","Pure 22K Gold","Khimji / Epari Govindam","Gold Weight Based (~50-80g)","Planned",""
"TRS-JW-03","JW-03","Matha Patti & Maang Tikka","jewellery","chapter_jewellery","Forehead Adornment","22K Gold with dangling pearl drops & kundan settings","Gold with Basra Pearl Accents","Lalchnd Jewellers / Tanishq","Gold Weight Based (~20-30g)","Planned",""
"TRS-JW-04","JW-04","Traditional Tiered Jhumkas & Kaanbali","jewellery","chapter_jewellery","Ear Adornment with Hair Support","22K Gold tiered bell jhumkas with connecting ear-chains","Pure 22K Gold","Khimji Jewellers / Kalyan","Gold Weight Based (~25-35g)","Planned",""
"TRS-JW-05","JW-05","Gold Kadas / Bangles (Set of 4)","jewellery","chapter_jewellery","Bridal Arm Adornment","22K Gold nakshi filigree kadas + red/green glass bangles","Pure 22K Gold","Khimji / Epari Govindam","Gold Weight Based (~40-60g)","Planned",""
"TRS-JW-06","JW-06","Kamarbandh (Gold Waist Chain)","jewellery","chapter_jewellery","Saree Drape Anchor","22K Gold or high-grade antique filigree waist belt","Antique Gold","Lalchnd / Saheed Nagar","Gold Weight Based (~30-50g)","Planned",""
"TRS-JW-07","JW-07","Silver Bridal Payal (Cuttack Tarakasi Nupur)","jewellery","chapter_jewellery","Sacred Ankle Bells (Gold forbidden on feet)","925 Sterling Silver handcrafted Cuttack filigree with bells","Polished Sterling Silver","Tarakasi Artisans / Khimji","₹8,000 - ₹16,000","Planned",""
"TRS-JW-08","JW-08","Silver Bichhiya (Toe Rings - 2 Sets)","jewellery","chapter_jewellery","Auspicious Symbol of Married Woman","Pure Sterling Silver engraved adjustable toe rings","Bright Sterling Silver","Khimji / Market Building","₹1,500 - ₹3,500","Planned",""
"TRS-JW-09","JW-09","Silver Sindoor Farua & Ceremonial Kajal Lata","jewellery","chapter_jewellery","Mandap Liturgical Accessories","Sterling Silver carved peacock Sindoor container + Kajal Lata","Carved Antique Silver","Epari Govindam / Lalchnd","₹4,500 - ₹8,500","Planned",""
"TRS-SA-01","SA-01","Samandhi Vastra (Mother-in-Law Silk Saree)","sara","chapter_sara_gifting","Formal In-Laws Respect Gifting","Pure Bomkai Silk or Berhampuri Pata Saree with pure zari pallu","Teal Blue / Forest Green / Maroon","Boyanika (Janpath)","₹18,000 - ₹28,000","Shortlisted",""
"TRS-SA-02","SA-02","Samandhi Vastra (Father-in-Law Suiting / Dhoti)","sara","chapter_sara_gifting","Formal In-Laws Respect Gifting","Pure Silk Tussar Dhoti-Kurta OR Raymond Super-120s Suiting Fabric","Natural Cream Silk or Navy Wool","Boyanika / Raymond Shop (Janpath)","₹12,000 - ₹20,000","Shortlisted",""
"TRS-SA-03","SA-03","Bride's Immediate Siblings Hampers","sara","chapter_sara_gifting","Family Welcoming Gift","Kurta-Pajama set for Brother; Silk/Georgette suit for Sister","Festive Palette","Manyavar / Amber (Janpath)","₹12,000 - ₹20,000 (Total)","Planned",""
"TRS-SA-04","SA-04","Groom's Sisters Wardrobe (2 Sets each)","sara","chapter_sara_gifting","Sangeet & Mandap Outfits for Groom's Sisters","Set 1: Designer Sangeet Lehenga. Set 2: Festive Sambalpuri Pata Saree","Pastel Mint, Peach, Royal Violet","Kalamandir / Saheed Nagar Boutiques","₹45,000 - ₹70,000 (Total)","Planned",""
"TRS-SA-05","SA-05","Ceremonial Shringar & Kula Trunk Kit","sara","chapter_sara_gifting","Traditional Trousseau Trunk Presentation","Painted brass/bamboo Kula, pure Alta, Bindi, Sindoor, perfume, glass bangles","Auspicious Crimson & Yellow","Market Building Unit-2","₹5,000 - ₹9,000","Planned",""
"TRS-SA-06","SA-06","Auspicious Dry Fruit & Odia Pitha Hampers (5 Baskets)","sara","chapter_sara_gifting","Traditional Hospitality Gifting","Cashews, almonds, pistachios, figs + vacuum-packed Chhena Poda & Arisha","Gold Wrapped Decorative Trays","Saheed Nagar / Nimapada Sweets / Janpath","₹15,000 - ₹25,000","Planned",""
"TRS-OD-01","OD-01","Nuapatna Khandua Pata Silk (Diya Mangula & Puja)","bridal","chapter_bridal_silks","Sacred Jagannath Blessing & Temple Mangula Ritual","Pure Mulberry Silk Nuapatna Handloom with Gita Govinda verses & sacred lotus motifs","Auspicious Vermilion Red / Sun Orange","Boyanika (Master Canteen) / Utkalika","₹12,000 - ₹22,000","Planned",""
"TRS-OD-02","OD-02","Balakati Hand-Cast Bell-Metal (Kansa) 7-Piece Dining Service","sara","chapter_sara_gifting","Newlywed Couple's First Ritual Feast & Ayurvedic Longevity Gift","Hand-beaten bell-metal Thali, 3 Katoris, Water Glass, Dessert Bowl, and Spoon (Ayurvedic dosha-balancing)","Polished Golden Bronze / Bell Metal","Balakati Bell Metal Co-op / Utkalika (Janpath)","₹8,500 - ₹15,000","Planned",""
"TRS-OD-03","OD-03","Cuttack Tarakasi Silver Filigree Sindura Phuda & Pana Batta","jewellery","chapter_jewellery","Auspicious Mandap Vermilion & Respected Guest Welcome Regalia","Handcrafted 925 Sterling Silver Cuttack filigree peacock Sindoor casket + floral Pana Batta","Polished 925 Pure Silver","Khimji Jewellers / Cuttack Tarakasi Artisans","₹12,000 - ₹24,000","Planned",""
"TRS-OD-04","OD-04","Sambalpuri Handloom Groom Joda & Silk Dhoti Set","groom","chapter_groom_wear","Traditional Odia Sacred Mandap Ceremony & Satyanarayana Puja","Pure Sambalpuri Pattu Dhoti + matching Angavastram (Uttariya) with traditional temple border","Tussar Gold with Maroon/Black Kumbha Border","Sambalpuri Bastralaya (Janpath) / Boyanika","₹6,500 - ₹12,500","Planned",""
"TRS-EG-01","EG-01","Diamond & Gold Engagement Rings (Bride & Groom)","engagement","chapter_engagement","Sacred Ring Exchange (Nirbandha / Nischitartham Ceremony)","Hallmarked 18K/22K Gold with VVS Solitaire Diamond / Classic Platinum Couple Bands","Yellow Gold / Platinum Sheen","Khimji Jewellers / Lalchnd Jewellers","₹45,000 - ₹95,000","Planned",""
"TRS-EG-02","EG-02","Bride Engagement Saree / Pastel Silk / Lehenga","engagement","chapter_engagement","Ring Exchange Ceremony Attire for Bride","Pastel Peach/Lilac Kanchipuram Silk Saree or Lightweight Designer Banarasi Brocade Lehenga","Pastel Peach / Lilac / Mint Gold","Kalamandir (Janpath) / Boyanika","₹25,000 - ₹45,000","Planned",""
"TRS-EG-03","EG-03","Groom Engagement Kurta Ensemble / Indo-Western Suit","engagement","chapter_engagement","Ring Exchange Ceremony Attire for Groom","Silk Kurta-Pajama with Hand-Embroidered Velvet/Silk Nehru Jacket or Tailored Jodhpuri Bandhgala","Powder Blue / Ivory Cream / Rose Gold Accents","Manyavar (Janpath) / Raymond / Ashok Nagar Tailors","₹12,000 - ₹22,000","Planned",""
"TRS-EG-04","EG-04","Decorative Ring Platter & Nirbandha Sagan Thali Hampers","engagement","chapter_engagement","Ceremonial Presentation of Sacred Rings & Auspicious Sagan Articles","Handcrafted Floral Velvet Ring Box Tray + Auspicious Thali with Betel Leaves, Supari, Silver Bowls for Haldi-Kumkum","Crimson Velvet & Gilded Brass / Floral Accents","Market Building (Unit-2) / Saheed Nagar Hub","₹4,500 - ₹9,500","Planned",""
"TRS-EG-05","EG-05","In-Laws Elder Return Vastra & Odia Sweets Hampers","engagement","chapter_engagement","Formal Exchange of Auspicious Welcome Garments & Sweets during Nirbandha","Silk Sarees for Mother-in-Law & Aunts, Safari/Kurta Pieces for Elders + Handcrafted Brass Platters of Odia Sweets & Dry Fruits","Festive Rich Silk Weaves & Royal Hampers","Boyanika (Janpath) / Nimapada Sweets / Saheed Nagar","₹18,000 - ₹32,000","Planned",""
"TRS-OD-05","OD-05","Odia Sacred Bridal & Groom Mukuta Set (Shola & Silver Filigree)","jewellery","chapter_jewellery","Ceremonial Royal Crowns for Muhurtham Hastaganthi Ritual","Handcrafted pure white aquatic shola pith crown pair adorned with Cuttack 925 silver filigree peacock crests & auspicious chandan beading","Pure Shola White & Silver Gilt","Market Building (Unit-2) / Cuttack Tarakasi Artisans","₹3,500 - ₹7,500","Planned",""
"TRS-OD-06","OD-06","Baula Patta Saree & Hastaganthi Bandhana Vastra Set","bridal","chapter_bridal_silks","Sacred Ritual Drape & Physical Knotting Cloth for Hastaganthi & Saptapadi","Auspicious yellow handloom silk cloth with crimson kumbha border (Baula Patta) + consecrated yellow silk knotting drape with betel nut & coin pouches","Auspicious Turmeric Yellow with Vermilion Border","Boyanika (Master Canteen) / Utkalika","₹4,500 - ₹8,500","Planned",""
"TRS-BR-08","BR-08","Bride Haldi Handloom Yellow Saree & Fresh Floral Jewellery Suite","bridal","chapter_bridal_silks","Mangala Krutya, Diya Mangula & Haldi Turmeric Blessing Ceremony","Pure yellow mulberry/cotton handloom saree + artisanal fresh floral jewelry (Tagar/Mogra Matha Patti, Haathphool, Floral Jhumkas, Waist Belt)","Sunlit Haldi Yellow & Fresh Floral Accents","Kalamandir (Janpath) / Saheed Nagar Floral Decorators","₹8,000 - ₹15,000","Planned",""
"TRS-GR-10","GR-10","Groom Mangala Snana / Haldi Tussar Silk Kurta & Dhoti Ensemble","groom","chapter_groom_wear","Pre-Wedding Turmeric Anointing, Snana & Satyanarayana Puja","Lightweight breathable unstitched yellow cotton-silk dhoti + natural mustard-yellow Tussar kurta with simple temple border","Mustard / Haldi Yellow & Natural Tussar","Boyanika (Janpath) / Sambalpuri Bastralaya","₹4,500 - ₹8,500","Planned",""
"TRS-OD-07","OD-07","Sacred Bamboo Kula & Odia Alaktaka (Alta) Ritual Set","sara","chapter_sara_gifting","Laja Homa (Puffed Rice Fire Offering) & Auspicious Bridal Foot/Hand Blessing","Hand-woven painted bamboo winnowing tray (Kula) for Khoi offering + Traditional herbal red Alaktaka (Alta) bottles with chandan applicator sticks","Traditional Painted Red & Yellow Bamboo with Pure Alta","Market Building (Unit-2 Plaza) / Saheed Nagar Hub","₹1,500 - ₹3,500","Planned",""
